LANGUAGE	aii	am	ar	bm	cy	et	eu	fi	fo	gl	gun	he	hsb	hu	hy	id	kk	kmr	ko	kpv	mt	myv	sme	ta	te	th	tl	tr	ug	vi	wo	yo	yue
aii	1.0	0.5205666666666666	0.33336666666666664	0.63005	0.43836666666666674	0.4267	0.6066666666666667	0.5982166666666667	0.47336666666666666	0.5459	0.6656	0.38633333333333325	0.18336666666666668	0.5813833333333334	0.5716500000000001	0.64295	0.6248333333333334	0.5814	0.64745	0.6485666666666666	0.4913666666666667	0.43836666666666674	0.45669999999999994	0.5299666666666667	0.6169666666666667	0.62265	0.6395666666666667	0.5603	0.5796166666666666	0.62015	0.6293833333333333	0.6559	0.6600166666666666
am	0.5205666666666666	1.0	0.7330666666666666	0.6026333333333334	0.6780666666666666	0.6614	0.5459999999999999	0.5638166666666666	0.6713999999999999	0.6096833333333334	0.6846	0.5180166666666667	0.5997333333333333	0.5211333333333333	0.5230166666666667	0.5697166666666666	0.7582833333333334	0.5376	0.6157	0.55735	0.5405833333333334	0.6530666666666667	0.6680666666666667	0.5464666666666668	0.52515	0.60035	0.5977333333333333	0.5279666666666667	0.67055	0.6526	0.5444333333333333	0.59785	0.6336833333333333
ar	0.33336666666666664	0.7330666666666666	1.0	0.7467166666666666	0.5717	0.5767000000000001	0.7400000000000001	0.7315499999999999	0.6066999999999999	0.6792333333333334	0.7322666666666667	0.6571666666666666	0.33336666666666664	0.7313833333333334	0.7383166666666666	0.74295	0.7748333333333334	0.7480666666666665	0.7474499999999998	0.7818999999999999	0.7246999999999999	0.5883666666666666	0.5900333333333333	0.6633	0.7503000000000001	0.7393166666666665	0.7395666666666666	0.7269666666666666	0.7129500000000001	0.7368166666666666	0.74605	0.7725666666666667	0.7766833333333333
bm	0.63005	0.6026333333333334	0.7467166666666666	1.0	0.6517166666666667	0.66005	0.57465	0.55665	0.7067166666666665	0.6078333333333333	0.6285333333333334	0.6406999999999999	0.6133833333333333	0.5352333333333333	0.5963999999999999	0.5834666666666667	0.7294333333333333	0.6057666666666667	0.6592166666666667	0.5814666666666666	0.623	0.6917166666666666	0.6617166666666666	0.6512166666666667	0.6054833333333333	0.5860500000000001	0.6486	0.5914833333333334	0.7783666666666668	0.6058833333333333	0.5437500000000001	0.51275	0.6445833333333334
cy	0.43836666666666674	0.6780666666666666	0.5717	0.6517166666666667	1.0	0.38336666666666663	0.6316666666666667	0.59655	0.39621666666666666	0.5214166666666666	0.6839333333333334	0.5288333333333334	0.3939166666666667	0.62805	0.6233166666666666	0.65795	0.6698333333333334	0.6455666666666666	0.7507833333333335	0.6802333333333334	0.6230333333333333	0.4617	0.44336666666666663	0.6266333333333333	0.7186333333333333	0.6809833333333333	0.6812333333333335	0.6869666666666667	0.64295	0.6668166666666666	0.61105	0.6659	0.71835
et	0.4267	0.6614	0.5767000000000001	0.66005	0.38336666666666663	1.0	0.6416666666666667	0.47154999999999997	0.4166999999999999	0.5642333333333334	0.6606	0.5371666666666667	0.4267	0.50305	0.6133166666666666	0.6662833333333333	0.6415	0.6514	0.67245	0.5402333333333335	0.6313666666666666	0.29281666666666667	0.2894833333333333	0.5816333333333333	0.6519666666666667	0.6793166666666667	0.7112333333333333	0.6269666666666667	0.56295	0.6618166666666667	0.6677166666666667	0.6825666666666667	0.6516833333333333
eu	0.6066666666666667	0.5459999999999999	0.7400000000000001	0.57465	0.6316666666666667	0.6416666666666667	1.0	0.53865	0.66	0.6076666666666667	0.7494999999999999	0.5963166666666667	0.59	0.5022	0.5485833333333333	0.5971666666666666	0.7781666666666668	0.5762333333333333	0.62705	0.53795	0.6368166666666667	0.6783333333333333	0.6766666666666667	0.6374833333333333	0.5412333333333333	0.6098333333333333	0.5772833333333334	0.5232833333333333	0.7448333333333333	0.6478666666666667	0.4751166666666667	0.5654666666666667	0.6503000000000001
fi	0.5982166666666667	0.5638166666666666	0.7315499999999999	0.55665	0.59655	0.47154999999999997	0.53865	1.0	0.6298833333333334	0.5899666666666666	0.7035833333333334	0.56845	0.5815499999999999	0.36308333333333337	0.5384666666666666	0.5428333333333334	0.7426	0.5704333333333333	0.5362666666666666	0.4453833333333333	0.6193166666666666	0.5782166666666666	0.53655	0.6304166666666667	0.5490166666666667	0.5515833333333334	0.5478833333333334	0.46058333333333334	0.7065333333333332	0.60135	0.5319333333333334	0.5721333333333333	0.57625
fo	0.47336666666666666	0.6713999999999999	0.6066999999999999	0.7067166666666665	0.39621666666666666	0.4166999999999999	0.66	0.6298833333333334	1.0	0.46641666666666665	0.6456000000000001	0.5438333333333333	0.4328833333333333	0.6463833333333334	0.6249833333333332	0.7212833333333334	0.6665	0.64425	0.7341166666666666	0.6719	0.6480333333333332	0.46670000000000006	0.44836666666666664	0.6199666666666667	0.7119666666666666	0.7259833333333333	0.7045666666666667	0.6836333333333333	0.6412833333333333	0.71515	0.6627166666666667	0.6842333333333332	0.7166833333333332
gl	0.5459	0.6096833333333334	0.6792333333333334	0.6078333333333333	0.5214166666666666	0.5642333333333334	0.6076666666666667	0.5899666666666666	0.46641666666666665	1.0	0.5503666666666667	0.5050833333333334	0.5164166666666667	0.5850833333333333	0.5519666666666667	0.6463666666666666	0.7923666666666667	0.5943333333333334	0.6997666666666666	0.6185	0.5338	0.5892333333333333	0.5942333333333333	0.5596833333333333	0.66085	0.64635	0.6217833333333334	0.6113	0.7571500000000001	0.6514	0.5925166666666667	0.5874666666666667	0.6516666666666667
gun	0.6656	0.6846	0.7322666666666667	0.6285333333333334	0.6839333333333334	0.6606	0.7494999999999999	0.7035833333333334	0.6456000000000001	0.5503666666666667	1.0	0.6192833333333333	0.6489333333333334	0.6934833333333333	0.7200666666666667	0.7035333333333332	0.8120666666666668	0.72065	0.7691	0.7220666666666666	0.6098333333333333	0.6506	0.6489333333333333	0.6135166666666666	0.7498	0.70215	0.7603666666666666	0.7188	0.86185	0.7448333333333333	0.6418	0.6360666666666667	0.7428666666666667
he	0.38633333333333325	0.5180166666666667	0.6571666666666666	0.6406999999999999	0.5288333333333334	0.5371666666666667	0.5963166666666667	0.56845	0.5438333333333333	0.5050833333333334	0.6192833333333333	1.0	0.5071666666666667	0.57235	0.5678833333333333	0.6013666666666667	0.7386333333333334	0.5579666666666667	0.6482666666666667	0.6413166666666666	0.4603999999999999	0.5471666666666667	0.5671666666666666	0.5549166666666667	0.6552333333333333	0.5961500000000001	0.6074166666666666	0.5654	0.7084166666666666	0.6130166666666667	0.6059833333333333	0.5912499999999999	0.6512666666666668
hsb	0.18336666666666668	0.5997333333333333	0.33336666666666664	0.6133833333333333	0.3939166666666667	0.4267	0.59	0.5815499999999999	0.4328833333333333	0.5164166666666667	0.6489333333333334	0.5071666666666667	1.0	0.5647166666666666	0.54665	0.6762833333333332	0.6415	0.5772333333333334	0.64745	0.6319	0.5747	0.43836666666666674	0.44003333333333333	0.5633	0.6336333333333334	0.6393166666666666	0.6562333333333333	0.5769666666666667	0.5796166666666666	0.6368166666666667	0.6127166666666667	0.6392333333333333	0.6766833333333334
hu	0.5813833333333334	0.5211333333333333	0.7313833333333334	0.5352333333333333	0.62805	0.50305	0.5022	0.36308333333333337	0.6463833333333334	0.5850833333333333	0.6934833333333333	0.57235	0.5647166666666666	1.0	0.4962166666666667	0.5594166666666666	0.7576833333333334	0.5579333333333333	0.5616166666666667	0.39504999999999996	0.6037333333333333	0.5213833333333334	0.5197166666666666	0.6070833333333333	0.5282666666666667	0.57705	0.6078333333333333	0.4005	0.70935	0.6144333333333334	0.5193166666666666	0.5469666666666667	0.6038333333333333
hy	0.5716500000000001	0.5230166666666667	0.7383166666666666	0.5963999999999999	0.6233166666666666	0.6133166666666666	0.5485833333333333	0.5384666666666666	0.6249833333333332	0.5519666666666667	0.7200666666666667	0.5678833333333333	0.54665	0.4962166666666667	1.0	0.6028666666666667	0.7456166666666667	0.4958666666666667	0.5604833333333333	0.5469833333333333	0.6259166666666666	0.6099833333333334	0.6333166666666666	0.5968166666666667	0.5745333333333335	0.6285000000000001	0.6188833333333333	0.498	0.6722833333333335	0.6236166666666667	0.5987833333333333	0.6213000000000001	0.6189333333333333
id	0.64295	0.5697166666666666	0.74295	0.5834666666666667	0.65795	0.6662833333333333	0.5971666666666666	0.5428333333333334	0.7212833333333334	0.6463666666666666	0.7035333333333332	0.6013666666666667	0.6762833333333332	0.5594166666666666	0.6028666666666667	1.0	0.7756666666666666	0.5662333333333334	0.5867833333333333	0.55915	0.66415	0.6962833333333335	0.7129500000000001	0.6085666666666667	0.5762666666666667	0.43248333333333333	0.39748333333333336	0.6212166666666666	0.7629333333333334	0.4497333333333333	0.5563166666666667	0.5673	0.5336166666666667
kk	0.6248333333333334	0.7582833333333334	0.7748333333333334	0.7294333333333333	0.6698333333333334	0.6415	0.7781666666666668	0.7426	0.6665	0.7923666666666667	0.8120666666666668	0.7386333333333334	0.6415	0.7576833333333334	0.7456166666666667	0.7756666666666666	1.0	0.6744	0.7222666666666666	0.7508666666666667	0.7944999999999999	0.6198333333333333	0.6365	0.7231000000000001	0.7268	0.7370333333333333	0.7667333333333334	0.6413666666666666	0.4482666666666666	0.7331500000000001	0.7992166666666667	0.8088666666666667	0.7455166666666667
